,X1,X2,X3,Y1,Y2,Y3
0,28.247707134449858,3.346100287348841,221.67009539230128,18.354208534449857,6.6653705,1.630994
1,29.345318741489702,3.0809530750265743,211.33004502385825,19.5831758414897,5.9324771,1.544212
2,29.939205935944024,2.898764493992776,225.68155755734543,19.176102935944023,5.820232300000001,1.678105
3,30.84870395696866,3.5221296286597186,217.4222156850976,20.33183895696866,6.919635199999999,1.597002
4,31.7113669777304,3.233094489966429,228.8441862652123,20.1997659777304,6.5594198,1.710082
5,32.52780504931212,2.8254873484945686,215.515245087809,21.447302049312125,5.4622823,1.573935
6,33.272318614662005,3.4835473434267774,226.7966145827099,21.312864614662004,7.0329571,1.689067
7,33.879989563892565,3.005787504398371,219.7544379050133,22.044778563892567,5.9019059,1.617899
8,35.18494531570842,3.373326504893333,212.27435071435767,23.37014831570842,6.498581300000001,1.555082
9,35.40981065407854,3.130183455190544,223.5619642164352,22.73633565407854,6.2166613,1.650518
0,28.247707134449858,3.346100287348841,221.67009539230128,18.56102323139019,6.655856856056553,1.6977993612125042
1,29.345318741489702,3.0809530750265743,211.33004502385825,19.729827187193877,5.728540623905328,1.4134640616584144
2,29.939205935944024,2.898764493992776,225.68155755734543,19.617194246226642,5.450924126992813,1.7739825253836676
3,30.84870395696866,3.5221296286597186,217.4222156850976,20.5539858433292,7.130622353645631,1.5896497436242663
4,31.7113669777304,3.233094489966429,228.8441862652123,19.817471925720838,6.490072691452306,1.760596332829738
5,32.52780504931212,2.8254873484945686,215.515245087809,21.601121644054448,5.853590375695609,1.6469982261948566
6,33.272318614662005,3.4835473434267774,226.7966145827099,21.153232879541008,7.21400435846014,1.6210329260790959
7,33.879989563892565,3.005787504398371,219.7544379050133,22.146338285698913,5.4986945132959715,1.5482437887697853
8,35.18494531570842,3.373326504893333,212.27435071435767,22.585897406724843,6.64892615395402,1.7018964866272137
9,35.40981065407854,3.130183455190544,223.5619642164352,22.731292767360983,6.507293699095067,1.7649448882176797
