,0,1,2
0,20.244722753536394,6.241353600911346,1.3298593001141485
1,20.04653754007831,5.454853081423345,1.499630378843457
2,20.544879968135934,6.3026252455740615,1.522480486295009
3,22.037354115097408,5.686321482860732,1.3367254372864759
4,21.534851045703697,5.72211775704558,1.4600582174229713
5,22.534885880592203,6.599868497674898,1.4082300790470026
6,23.167692415577864,5.120338866870266,1.3874877398712673
7,22.84644573644457,6.564453952530188,1.5389609923743761
8,24.48117923853294,5.371021958616025,1.3250540856274227
9,24.757633878355804,6.024314409778473,1.469173571700335
0,20.307297333613977,6.218598827893038,1.3196424160020264
1,19.99336544593134,5.479670790992806,1.5189372313923668
2,20.544879968135934,6.3026252455740615,1.522480486295009
3,22.04028144204829,5.6982160646521764,1.3442384198213162
4,21.673190896758936,5.682096795711613,1.4411980388989192
5,22.581649995143554,6.58597019015126,1.4001438267560684
6,23.223001541230527,5.104279825625454,1.3787228486540675
7,22.89102019943379,6.548337754208779,1.536155585691366
8,24.46694527981882,5.378033647300387,1.33229201361761
9,24.757633878355804,6.024314409778473,1.469173571700335
0,20.307297333613977,6.218598827893038,1.3196424160020264
1,19.99336544593134,5.479670790992806,1.5189372313923668
2,20.613768878005605,6.259267376186043,1.505630206172175
3,21.982333302042456,5.714125025951401,1.3523793813194578
4,21.673190896758936,5.682096795711613,1.4411980388989192
5,22.610328943312684,6.572760993703804,1.3968968640650343
6,23.156938454283573,5.111507066821416,1.3886531198665022
7,22.923655924790534,6.486625072051543,1.4878721432991275
8,24.829731639480418,5.2898860303709165,1.2977818203123848
9,24.757633878355804,6.024314409778473,1.469173571700335
0,20.287034647225784,6.228440613165589,1.3242647634614932
1,20.270416354577456,5.379347531290031,1.4475049503398552
2,20.582670298868596,6.273366223985584,1.5147219361226993
3,21.982333302042456,5.714125025951401,1.3523793813194578
4,21.711822536544442,5.667990289107921,1.4310124221876461
5,22.55944304744292,6.59261334157945,1.4088922787739053
6,23.112500586116532,5.12785289689832,1.4035285748593864
7,23.01535968005973,6.461058305354761,1.46992155053367
8,24.829731639480418,5.2898860303709165,1.2977818203123848
9,24.757633878355804,6.024314409778473,1.469173571700335
0,20.287034647225784,6.228440613165589,1.3242647634614932
1,20.23100901608904,5.397946120953297,1.4554719808510812
2,20.566552665243655,6.296732260756352,1.5401749693852855
3,21.99144535719127,5.712015113014883,1.3542863059633807
4,21.73447413520826,5.659702953403906,1.425775440062285
5,22.55944304744292,6.59261334157945,1.4088922787739053
6,23.166766872165432,5.105251964186025,1.3965750356753146
7,23.01535968005973,6.461058305354761,1.46992155053367
8,24.959172452616563,5.235253872809558,1.2613973224526625
9,24.757633878355804,6.024314409778473,1.469173571700335
0,20.183558411762757,6.262404793216145,1.3366136599566099
1,20.2229235992574,5.398642956281246,1.4641978116640977
2,20.553438182937686,6.302909553579067,1.557463102942499
3,22.032259826193137,5.711832805271867,1.343881058911324
4,21.843389256880414,5.628842924304349,1.4123367299509997
5,22.487920929518225,6.6129504047328025,1.4176315315386512
6,23.166766872165432,5.105251964186025,1.3965750356753146
7,23.04970472861603,6.462401776147224,1.4709057709014266
8,24.85455326703239,5.249736411303059,1.264213006118661
9,24.757633878355804,6.024314409778473,1.469173571700335
0,20.183558411762757,6.262404793216145,1.3366136599566099
1,20.21426582824461,5.407622641586181,1.4729669792855393
