,0,1,2
0,0.0021148092846840776,0.002143332114119785,0.015040974309348247
1,0.003709413410512434,0.0020676535342946914,0.0012894302060081414
2,0.003800921594677688,0.002170169454125875,0.010845710586324612
3,0.002280206277755439,0.0028113901795360206,0.01426353166526587
4,0.0024519171938246925,0.0029766070303071076,0.02129836462328806
5,0.0018297083220856758,0.0011047616512062848,0.000516676595719383
6,0.004720960074391185,0.004448547642673582,0.026174688444962096
7,0.002203468943360052,0.0014222856711240777,0.0009017008589008768
8,0.0035486983256952653,0.002159348298817087,0.000770699338556822
9,0.0020949650267543655,0.0014795778423150007,0.0010871309394351754
0,0.0021148092846840776,0.002143332114119785,0.015040974309348247
1,0.003855973559658794,0.0022608398036684865,0.0014237479654612532
2,0.003284460624586576,0.0026343674522344178,0.00880220568524816
3,0.002280206277755439,0.0028113901795360206,0.01426353166526587
4,0.003269618159352042,0.0029682133515400674,0.024145684300957697
5,0.003025247603441463,0.0016760928543093413,0.0007816846035948999
6,0.004210139124693617,0.004234044324647088,0.022488605032459506
7,0.0028555239652123822,0.0016904333231098792,0.0010727823203893817
8,0.005013631811458655,0.0029228811565965005,0.0009392140744246678
9,0.0020949650267543655,0.0014795778423150007,0.0010871309394351754
0,0.002150705477526264,0.0022724674175226725,0.014003602018643233
1,0.003855973559658794,0.0022608398036684865,0.0014237479654612532
2,0.0026816787607336734,0.002238818937440501,0.007697775148194816
3,0.002280206277755439,0.0028113901795360206,0.01426353166526587
4,0.005207052782642231,0.003499833237736252,0.026453622566614335
5,0.003025247603441463,0.0016760928543093413,0.0007816846035948999
6,0.0046498111537213605,0.004439242248217188,0.026914497925445525
7,0.002359554187759927,0.0016295794536848652,0.0010521926377957702
8,0.006280778359178898,0.003590501232915495,0.0011263897557345487
9,0.00553697569340233,0.002243297878094449,0.0016425189925131389
0,0.002150705477526264,0.0022724674175226725,0.014003602018643233
1,0.0029420218508483726,0.0016370532804897823,0.0010500016243950253
2,0.0026816787607336734,0.002238818937440501,0.007697775148194816
3,0.002280206277755439,0.0028113901795360206,0.01426353166526587
4,0.005445531849940499,0.0034911914289927526,0.028230606255060707
5,0.003025247603441463,0.0016760928543093413,0.0007816846035948999
6,0.0046498111537213605,0.004439242248217188,0.026914497925445525
7,0.002359554187759927,0.0016295794536848652,0.0010521926377957702
8,0.006280778359178898,0.003590501232915495,0.0011263897557345487
9,0.00553697569340233,0.002243297878094449,0.0016425189925131389
0,0.002256420688854035,0.0019801769647879173,0.015662559799076888
1,0.002861952811309479,0.0021087656546864035,0.0012623910344538912
2,0.003909775954529922,0.002950713585558091,0.009840614928473967
3,0.0029155988603618713,0.002727225805644798,0.015601895405234587
4,0.005445531849940499,0.0034911914289927526,0.028230606255060707
5,0.0026432011592996667,0.0013053059570065837,0.0006584653255205102
6,0.0046498111537213605,0.004439242248217188,0.026914497925445525
7,0.002359554187759927,0.0016295794536848652,0.0010521926377957702
8,0.006280778359178898,0.003590501232915495,0.0011263897557345487
9,0.00553697569340233,0.002243297878094449,0.0016425189925131389
0,0.0018749491685654744,0.0018023315760981895,0.011573261124448439
1,0.002650737029933992,0.0015782938867995137,0.0009782133714815859
2,0.0028551188732386596,0.002452573467767939,0.00812205414140161
3,0.002665014054365718,0.002303481143825278,0.01684892942790625
4,0.005445531849940499,0.0034911914289927526,0.028230606255060707
5,0.002193551052786961,0.001560873212601609,0.000757421197813479
6,0.0046498111537213605,0.004439242248217188,0.026914497925445525
7,0.002914977225049815,0.0017955130168240715,0.0011300213000725574
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
9,0.00553697569340233,0.002243297878094449,0.0016425189925131389
0,0.0026834307368081975,0.002998981200127386,0.024223408455738317
1,0.0029044948637766354,0.0015442689442993914,0.0010129927727682013
2,0.0017352547681172294,0.0013245684684213604,0.004413207282199521
3,0.002670722216039735,0.002437486006159672,0.015449769618484268
4,0.0065074464700666055,0.0042733685731731206,0.03164934048540869
5,0.002297114947615847,0.0013682670772314255,0.0007070688141249487
6,0.003791011660324514,0.00407798421570329,0.025720372102551074
7,0.002663785001497467,0.0018372425440316732,0.001120004617990554
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
9,0.00553697569340233,0.002243297878094449,0.0016425189925131389
0,0.0026208778051617114,0.002731653354883197,0.02127945646479574
1,0.0024413257839780806,0.0014194408102652122,0.000964194934711916
2,0.0021841452818574855,0.0016273638964175398,0.007705113862021186
3,0.0027142572659922077,0.002660276322645156,0.012582205834688222
4,0.0065074464700666055,0.0042733685731731206,0.03164934048540869
5,0.002297114947615847,0.0013682670772314255,0.0007070688141249487
6,0.003791011660324514,0.00407798421570329,0.025720372102551074
7,0.002663785001497467,0.0018372425440316732,0.001120004617990554
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
