,0
0,3.9872464124570683
1,3.9872464124570683
2,3.8876723380193194
3,3.8675239766604417
4,3.8675239766604417
5,3.9811076678038466
6,3.9811076678038466
7,3.763600201560787
8,3.9455975901105544
9,3.706565499547972
10,3.551126630491481
11,3.224864791936759
12,3.3814679687341154
13,3.454719977576258
14,3.340258713134458
15,3.8046012739088955
16,3.9082884955839523
17,3.9735507130071586
18,3.794598652242452
19,3.5142126965409317
20,3.6807847040390573
21,3.153781255797474
22,3.472854781056429
23,3.665444640970921
24,3.6041931517483805
25,3.425798591325826
26,3.272491214739166
27,3.2148662192409008
28,3.909033170183627
29,3.183149147623882
30,3.169102102725312
31,3.4068113034867933
32,3.713578286133406
33,3.6225609348035843
34,3.0829924588883495
35,3.2554040392460437
36,3.1433799405514593
37,3.7805436947196736
38,3.326728745038514
39,3.4339106536171937
40,3.288582140298667
41,3.229700774555256
42,3.1606320428618098
43,3.0665224120747454
44,3.422235087220074
45,3.021122012469628
46,3.224177969440839
47,3.4525001196497676
48,3.4577120708673843
49,3.2752057891498034
50,3.8223458978792033
51,3.045335050219812
52,3.266092669537062
53,3.5240347500007347
54,3.5346670996181504
55,3.5970896229890807
56,3.592902344893372
57,3.615617265872114
58,3.5793194875443115
59,3.49798186611606
60,3.4111173182300956
61,3.285295367156842
62,3.066208627228634
63,3.0592476574618437
64,3.6575507328933905
65,3.742916601399259
66,3.742916601399259
67,3.819995949194949
68,3.906706302912447
69,3.336466950432749
70,3.436004390327462
71,3.75102218539804
72,3.739814847556323
73,3.707715053726916
74,3.79689449351599
75,3.991293869716107
76,3.991293869716107
77,3.991293869716107
78,3.991293869716107
79,3.592172343059136
80,3.478134315208419
81,3.5567157434595336
82,3.0858881712820025
83,3.0858881712820025
84,3.147147319818871
85,3.0737796590848507
86,3.0737796590848507
87,3.04509828907413
88,3.1868165860124016
89,3.072000260551299
90,3.0006252186590436
91,3.9320206353317517
92,3.6410166364109546
93,3.6410166364109546
94,3.638145535046641
95,3.5511621302657304
96,3.440050492212159
97,3.450003267302261
98,3.244063245920814
99,3.927061300961088
100,3.6265240532822176
101,3.563155933419164
102,3.4492185604843004
103,3.4778431002183834
104,3.576014173030331
105,3.703793570724872
106,3.7819633463762115
107,3.8153316945394486
108,3.671194558031117
109,3.5584036196182938
110,3.7465681817843834
111,3.765651923925742
112,3.8213909313684784
113,3.436967779863742
114,3.4079618984923297
115,3.655946509548727
116,3.7556559999468635
117,3.8193663029233265
118,3.403755809812294
119,3.601084051054787
120,3.1016160402865824
121,3.0908453476229596
122,3.1150721424428007
123,3.1506392919415545
124,3.3718701311283126
125,3.1268698337979504
126,3.166031174577708
127,3.1332052543437765
128,3.1760563989912027
129,3.1760563989912027
130,3.121081288666802
131,3.5763277390594577
132,3.5647722491698888
133,3.739952161767208
134,3.519516882437927
135,3.519516882437927
136,3.685635424730102
137,3.5891593857058672
138,3.405478713121503
139,3.5654592458745054
140,3.3342354202620856
141,3.741437524096673
142,3.6539565825759235
143,3.369951167862845
144,3.1239067239458387
145,3.155899331927296
146,3.2013674691311707
147,3.2701432481730306
148,3.2274645588999413
149,3.43210882784679
150,3.5536886378419057
151,3.602563852624326
152,3.832965509547331
153,3.362086597625214
154,3.519444549481596
155,3.4477827461084845
156,3.4477827461084845
157,3.32573789011327
158,3.6929302656991903
159,3.789642017065996
160,3.572663686567918
161,3.3504158758205236
162,3.1448966066234108
163,3.2580120446616774
164,3.271858346470683
165,3.2807123147873254
166,3.2807123147873254
167,3.3889360035228773
168,3.752235958067627
169,3.86924165561652
170,3.929637306943758
171,3.8040953957577748
172,3.7040875667006943
173,3.917485609528487
174,3.5149479483209274
175,3.2826792445174773
176,3.0816278761992817
177,3.282827917032935
178,3.425753339801571
179,3.197333874786753
180,3.1898722538693507
181,3.2561788013588924
182,3.7553221510038393
183,3.9691640125898906
184,3.928684354068715
185,3.887190331879843
186,3.5246607929301232
187,3.5975064886744534
188,3.6826625383526084
189,3.4149402884783715
190,3.392203112068328
191,3.418178128221265
192,3.483001777400713
193,3.081915580190675
194,3.003166509933866
195,3.003166509933866
196,3.003166509933866
197,3.003166509933866
198,3.401955346422504
199,3.738049748969958
200,3.381789626935541
201,3.4338221125079564
202,3.4696687984301167
203,3.5772390078552045
204,3.144938060728245
205,3.6945226615783584
206,3.7234128664895105
207,3.6748049154800113
208,3.3512458303570574
209,3.9180831895522537
210,3.901047915261608
211,3.5494642518683506
212,3.6972368518942047
213,3.105575356765904
214,3.159971881216162
215,3.159971881216162
216,3.931006910593541
217,3.0577898472389364
218,3.0577898472389364
219,3.0577898472389364
220,3.0345612718900465
221,3.0345612718900465
222,3.324265593266851
223,3.361481252410964
224,3.3244448254152457
225,3.4943066549060804
226,3.6240064169339696
227,3.690485834907258
228,3.701001166482468
229,3.806222966019194
230,3.821667906910177
231,3.7821675362138336
232,3.7317029217173254
233,3.2182255801531636
234,3.3299810699717227
235,3.354567394849057
236,3.041885258778097
237,3.0121533375304765
238,3.345575554155254
239,3.570558437401298
240,3.5647028109337615
241,3.8817112871036827
242,3.9890712724706416
243,3.64262261535522
244,3.8064304445852533
245,3.277441453884941
246,3.3558856666136427
247,3.3207443149926217
248,3.0781408069109024
249,3.0191493511758765
250,3.0191493511758765
251,3.0191493511758765
252,3.0365092023007176
253,3.00500566150762
254,3.475990225496562
255,3.554358374219466
256,3.5233638374588616
257,3.5317817171437498
258,3.8819534614165363
259,3.872091829696136
260,3.259673637168972
261,3.679674613258203
262,3.2882947905390045
263,3.0981111121415577
264,3.0713361808839896
265,3.118017592767676
266,3.327891473422785
267,3.5418856447680263
