,0,1
2,1.2271171586528788,1.322926354254883
3,1.2862221414230721,1.3451956418885418
4,1.3396891019821264,1.364553194201343
0,1.0861351706595377,1.266902068571168
1,1.1610434093965607,1.2970984310574853
2,1.2271171586528788,1.322926354254883
3,1.2862221414230721,1.3451956418885418
4,1.3396891019821264,1.364553194201343
0,1.0795085465106502,1.2649335518250429
1,1.1544444898941384,1.2951337839856056
2,1.2205426763805216,1.3209650170402503
3,1.2796695189979037,1.3432371584907838
4,1.3331562541940989,1.3625971914805763
0,1.0795085465106502,1.2649335518250429
1,1.1544444898941384,1.2951337839856056
2,1.2205426763805216,1.3209650170402503
3,1.2796695189979037,1.3432371584907838
4,1.3331562541940989,1.3625971914805763
0,1.0808053826806963,1.2666575892061538
1,1.1572491092706048,1.2970679312181501
2,1.2246772548001266,1.3230788780084577
3,1.2849937863214156,1.3455059717887083
4,1.339556726039149,1.3650006969104556
0,1.0779941797856587,1.2646955133987163
1,1.1531769968666599,1.2949302135340002
2,1.219492941386905,1.3207909281596213
3,1.2788145752032782,1.3430884891368797
4,1.3324775204728982,1.3624706180206423
0,1.0779941797856587,1.2646955133987163
1,1.1531769968666599,1.2949302135340002
2,1.219492941386905,1.3207909281596213
3,1.2788145752032782,1.3430884891368797
4,1.3324775204728982,1.3624706180206423
0,1.0779941797856587,1.2646955133987163
1,1.1531769968666599,1.2949302135340002
2,1.219492941386905,1.3207909281596213
3,1.2788145752032782,1.3430884891368797
4,1.3324775204728982,1.3624706180206423
0,1.0841643141676927,1.2665749644640507
1,1.1593707695000912,1.2968129635662764
2,1.2257075644357518,1.3226764999047724
3,1.2850478495842768,1.3449764938122803
4,1.3387276670361352,1.364360737517826
0,1.0814093052898384,1.2650849268332225
1,1.1558710420200495,1.2952188789116885
2,1.2215509485944687,1.3209934204734197
3,1.280303627080588,1.3432166815260822
4,1.333451889648737,1.3625342252870127
0,1.0814093052898384,1.2650849268332225
1,1.1558710420200495,1.2952188789116885
2,1.2215509485944687,1.3209934204734197
3,1.280303627080588,1.3432166815260822
4,1.333451889648737,1.3625342252870127
0,1.0814093052898384,1.2650849268332225
1,1.1558710420200495,1.2952188789116885
2,1.2215509485944687,1.3209934204734197
3,1.280303627080588,1.3432166815260822
4,1.333451889648737,1.3625342252870127
0,1.0814093052898384,1.2650849268332225
1,1.1558710420200495,1.2952188789116885
2,1.2215509485944687,1.3209934204734197
3,1.280303627080588,1.3432166815260822
4,1.333451889648737,1.3625342252870127
0,1.0814093052898384,1.2650849268332225
1,1.1558710420200495,1.2952188789116885
2,1.2215509485944687,1.3209934204734197
3,1.280303627080588,1.3432166815260822
4,1.333451889648737,1.3625342252870127
0,1.0814093052898384,1.2650849268332225
1,1.1558710420200495,1.2952188789116885
2,1.2215509485944687,1.3209934204734197
3,1.280303627080588,1.3432166815260822
4,1.333451889648737,1.3625342252870127
0,1.083347841665825,1.2654871702468884
1,1.157606505471282,1.2955927096621533
2,1.2231072890315016,1.3213429489562412
3,1.2816997365213905,1.3435452561682033
4,1.3347030525223593,1.3628445858275342
0,1.0723147743429986,1.2627742061244915
1,1.1472676003447886,1.2929767962223098
2,1.213380678355886,1.3188100460967738
3,1.2725208418960487,1.3410839264846703
4,1.3260196273326725,1.3604454710437386
0,1.0723147743429986,1.2627742061244915
1,1.1472676003447886,1.2929767962223098
2,1.213380678355886,1.3188100460967738
3,1.2725208418960487,1.3410839264846703
4,1.3260196273326725,1.3604454710437386
0,1.0756490081188321,1.2578628164220425
1,1.1440167820755534,1.2871366307977075
2,1.204321432535802,1.3121754688276903
3,1.2582657805792075,1.3337643934129417
4,1.3070643791751146,1.3525305409391195
0,1.0756490081188321,1.2578628164220425
1,1.1440167820755534,1.2871366307977075
2,1.204321432535802,1.3121754688276903
3,1.2582657805792075,1.3337643934129417
4,1.3070643791751146,1.3525305409391195
0,1.0756490081188321,1.2578628164220425
1,1.1440167820755534,1.2871366307977075
2,1.204321432535802,1.3121754688276903
3,1.2582657805792075,1.3337643934129417
4,1.3070643791751146,1.3525305409391195
0,1.0756490081188321,1.2578628164220425
1,1.1440167820755534,1.2871366307977075
2,1.204321432535802,1.3121754688276903
3,1.2582657805792075,1.3337643934129417
4,1.3070643791751146,1.3525305409391195
0,1.0756490081188321,1.2578628164220425
1,1.1440167820755534,1.2871366307977075
2,1.204321432535802,1.3121754688276903
3,1.2582657805792075,1.3337643934129417
4,1.3070643791751146,1.3525305409391195
0,1.0756490081188321,1.2578628164220425
1,1.1440167820755534,1.2871366307977075
2,1.204321432535802,1.3121754688276903
3,1.2582657805792075,1.3337643934129417
4,1.3070643791751146,1.3525305409391195
0,1.0756490081188321,1.2578628164220425
1,1.1440167820755534,1.2871366307977075
2,1.204321432535802,1.3121754688276903
3,1.2582657805792075,1.3337643934129417
4,1.3070643791751146,1.3525305409391195
0,1.0756490081188321,1.2578628164220425
1,1.1440167820755534,1.2871366307977075
2,1.204321432535802,1.3121754688276903
3,1.2582657805792075,1.3337643934129417
4,1.3070643791751146,1.3525305409391195
0,1.0756490081188321,1.2578628164220425
1,1.1440167820755534,1.2871366307977075
2,1.204321432535802,1.3121754688276903
3,1.2582657805792075,1.3337643934129417
4,1.3070643791751146,1.3525305409391195
0,1.077522517419306,1.2583890454420774
1,1.1458500275301204,1.2876571255595186
