,0,1,2
0,19.502685702138436,6.254915039575978,1.4514515109081476
1,20.79187363805768,5.583675527611233,1.3786966045282076
2,20.444337778635916,5.4609111274594575,1.4932761438017539
3,21.575454858283496,6.5062058253889266,1.43209569245721
4,21.41953118084693,6.18160921031405,1.538770912469106
5,22.744308965338355,5.144037778014872,1.4001934696220442
6,22.535757491940515,6.648047303596807,1.532516518753911
7,23.33006803673469,5.568226445947228,1.4489718041290447
8,24.829374557558214,6.0922309404346136,1.3730558341913361
9,24.18452153345791,5.844060293602409,1.4687374788540453
0,0.19064685445896723,0.07958436739837646,0.05265436943600571
1,0.1628975614865316,0.06280824481174267,0.03453272341364995
2,0.24126702642981743,0.08244082412427085,0.04891864096577467
3,0.2016350292679213,0.08295255594768274,0.04570960321438502
4,0.2062213593942817,0.08215735225912332,0.05688394151042891
5,0.2409393455016628,0.07135906097911018,0.04060142661063837
6,0.21875018984850478,0.07972911726179284,0.054551125425637066
7,0.2360962715044651,0.0686586258711448,0.03776714321144867
8,0.2918913331787558,0.08349751497674336,0.04089974218376843
9,0.27283814780902194,0.0822660237447761,0.043784060494942684
