,0,1
0,-4.268021740967963,-9.9359485330315
1,-5.759651072482538,-9.608916744569045
2,-7.956259489232346,-7.076645379574835
3,-7.956259489232346,-7.076645379574835
4,-7.956259489232346,-7.076645379574835
5,-7.927411030975106,-6.889331113411454
6,-7.750705052710387,-7.641028772087206
7,-8.204437553307766,-6.497238240263451
8,-7.906613044714791,-6.307262256326372
9,-9.572571078595086,-6.060493872005054
10,-9.572571078595086,-6.060493872005054
11,-9.572571078595086,-6.060493872005054
12,-9.572571078595086,-6.060493872005054
13,-7.71555463665962,-8.840899856114202
14,-7.71555463665962,-8.840899856114202
15,-7.4724191351899165,-8.457647537460986
16,-7.657302372330457,-8.053282084814628
17,-6.332657013742326,-8.249510650363343
18,-6.785280655959061,-7.588750003885849
19,-7.543559223090705,-7.8531804865792125
20,-7.912880371728861,-7.9107098884423985
21,-8.313275294814165,-8.438127639091483
22,-7.070400475035818,-8.579810927094064
23,-7.44750221739497,-9.085088372444984
24,-3.6373405232062583,-9.399627167596298
25,-8.01388998492303,-8.330898396036492
26,-8.024671798128132,-8.354132660795933
27,-9.486972525324457,-9.45250423020675
28,-5.509380459439589,-9.709892558531344
29,-5.3827192269225,-8.952648638719069
30,-3.630133581286172,-7.130064447036951
31,-3.630133581286172,-7.130064447036951
32,-3.630133581286172,-7.130064447036951
33,-3.630133581286172,-7.130064447036951
34,-3.467746434187263,-7.136144680479945
35,-3.467746434187263,-7.136144680479945
36,-3.467746434187263,-7.136144680479945
37,-3.5329816512691536,-7.531197578789673
38,-4.6874518709650825,-6.994202479974972
39,-4.359359237819006,-6.928865324110711
40,-4.131473813684716,-6.84214846608183
41,-4.131473813684716,-6.84214846608183
42,-3.738570530354898,-7.993195631904656
43,-4.141983245678061,-8.585488885092326
44,-4.141983245678061,-8.585488885092326
45,-4.141983245678061,-8.585488885092326
46,-4.141983245678061,-8.585488885092326
47,-3.4588313791275187,-9.022915113808175
48,-3.6741928040681087,-9.242542935215257
49,-3.712850513812118,-9.578191576380975
50,-3.557158242930056,-8.183152031280953
51,-3.7850715886135187,-9.641519373250887
52,-9.065130627453916,-7.371273920438515
53,-9.682691489591312,-7.113970604020056
54,-6.941259896566898,-8.74455702989989
55,-6.969049657591822,-7.935273613453466
56,-6.969049657591822,-7.935273613453466
57,-6.969049657591822,-7.935273613453466
58,-7.58210330480923,-8.171495161930487
59,-7.997582852071253,-7.774525143748868
60,-9.637439230193774,-6.985307745981001
61,-8.74793384358379,-8.473536574417684
62,-9.710741928258258,-7.21045527289247
63,-9.710741928258258,-7.21045527289247
64,-9.747605123279394,-6.997500842729604
65,-9.792959958646211,-7.419832053067783
66,-6.805656159371608,-9.165621465350096
67,-6.931568759984347,-9.085321234985472
68,-4.9019712803224555,-8.257559717468883
69,-5.831173997630064,-8.17022581504281
70,-5.376830580647697,-8.873281930737642
71,-5.286969070460431,-8.955166684178913
72,-6.639337987119293,-8.604727982817261
73,-7.253477125563347,-9.156144365356422
74,-9.173681625526463,-8.484496598141401
75,-8.977435356176473,-8.511102753719701
76,-8.977435356176473,-8.511102753719701
77,-7.354860779615786,-8.810890440393704
78,-7.317026122944608,-9.327932972990697
79,-7.690072068020027,-9.747242490873326
80,-7.690072068020027,-9.747242490873326
81,-6.732456017357611,-9.319851192656175
82,-6.59064384760026,-9.813043521005236
83,-6.594906208108807,-9.993650029033486
84,-6.594906208108807,-9.993650029033486
85,-8.66303052810097,-9.425962370945365
86,-7.945945450139969,-8.770023654802554
87,-7.753874137011509,-9.287071254304603
88,-7.753874137011509,-9.287071254304603
89,-6.943536406048897,-8.623997009041727
90,-8.199525915224884,-7.584657620002275
91,-9.254422719513759,-8.554004110068437
92,-9.254422719513759,-8.554004110068437
93,-9.118241999368387,-8.25730495526337
94,-8.621700747932957,-8.654407361854034
95,-9.054277585996669,-7.369871797677467
96,-5.926568421368791,-8.53453451992768
97,-4.408308229204155,-6.655001503716372
98,-3.812462537204875,-6.291011403006377
99,-3.812462537204875,-6.291011403006377
100,-3.812462537204875,-6.291011403006377
101,-3.812462537204875,-6.291011403006377
102,-7.271791304410099,-7.799277278962465
103,-7.271791304410099,-7.799277278962465
104,-8.6557163092873,-9.072529897678496
105,-8.173927427233686,-9.411350931640845
106,-7.846513311133712,-9.169256113185686
107,-9.29623274478598,-9.46538727463946
108,-9.708571292539604,-7.358554831744587
109,-6.64460309382158,-9.500521478718726
110,-6.64460309382158,-9.500521478718726
111,-9.23842262873035,-8.069772195007214
112,-9.551347644296891,-7.615054362102448
113,-9.371312436184864,-7.158483655550812
114,-8.141037828393793,-7.641665361079671
115,-7.358178911224097,-7.533095370565935
116,-7.711999004404228,-7.8164887754171595
117,-7.335915904662528,-7.623112689602904
118,-6.566237617464533,-6.741972548934739
119,-6.897497963214589,-6.383007141019832
120,-6.76999106394774,-6.676546785001333
